"model","accuracy_mean","accuracy_sd","recall_mean","recall_sd","precision_mean","precision_sd","f1_mean","f1_sd","auc_mean","auc_sd"
"Logistic Regression",0.71087,0.03635,0.6109,0.09669,0.36047,0.0907,0.44577,0.08325,0.73278,0.04356
"SVM",0.72535,0.03696,0.68029,0.10428,0.33343,0.10269,0.43611,0.1004,0.74094,0.0472
"qlr_metrics_0.35",0.67184,0.03698,0.82053,0.30185,0.01078,0.02106,0.06744,0.04261,0.73115,0.04391
"qlr_metrics_0.4",0.68178,0.03758,0.76557,0.26391,0.05894,0.05516,0.1262,0.08286,0.73174,0.04375
"qlr_metrics_0.45",0.69899,0.03759,0.68923,0.15745,0.17286,0.08889,0.26692,0.11107,0.73224,0.04365
"qlr_metrics_0.5",0.71045,0.03642,0.62197,0.1029,0.33215,0.09785,0.42333,0.09309,0.73266,0.04362
"qlr_metrics_0.55",0.70431,0.03959,0.56407,0.08108,0.49604,0.09468,0.52166,0.07039,0.73293,0.04352
"qlr_metrics_0.6",0.67709,0.04166,0.51226,0.06572,0.64525,0.08371,0.56699,0.05565,0.73312,0.04346
"qlr_metrics_0.65",0.62676,0.04737,0.46419,0.0565,0.7761,0.07618,0.57761,0.0494,0.73299,0.04343
"qlr_metrics_0.7",0.55073,0.05761,0.41795,0.05174,0.88239,0.06282,0.56443,0.04775,0.73265,0.04349
